,Player,Mat,1st,2nd,,Team,Opposition,Ground,Match Date,Scorecard
269,,,192,DNB,,Australia,v England,The Oval,28 Aug 1975,Test # 763
270,,,41,74*,,Australia,v West Indies,Brisbane,28 Nov 1975,Test # 764
271,,,156,20,,Australia,v West Indies,Perth,12 Dec 1975,Test # 765
272,AI Kallicharran,7,0,57,,West Indies,v India,Kolkata,27 Dec 1974,Test # 750
273,,,17,51,,West Indies,v India,Chennai,11 Jan 1975,Test # 752
274,,,98,34*,,West Indies,v India,Wankhede,23 Jan 1975,Test # 753
275,,,92*,44,,West Indies,v Pakistan,Lahore,15 Feb 1975,Test # 756
276,,,115,DNB,,West Indies,v Pakistan,Karachi,1 Mar 1975,Test # 759
277,,,4,101,,West Indies,v Australia,Brisbane,28 Nov 1975,Test # 764
278,,,57,-,,West Indies,v Australia,Perth,12 Dec 1975,Test # 765
279,RC Fredericks,7,0,138,,West Indies,v England,Lord's,17 Jun 1976,Test # 778
280,,,0,50,,West Indies,v England,Manchester,8 Jul 1976,Test # 779
281,,,109,6,,West Indies,v England,Leeds,22 Jul 1976,Test # 780
282,,,71,86*,,West Indies,v England,The Oval,12 Aug 1976,Test # 781
283,,,24,52,,West Indies,v Pakistan,Bridgetown,18 Feb 1977,Test # 797
284,,,120,57,,West Indies,v Pakistan,Port of Spain,4 Mar 1977,Test # 799
285,,,5,52*,,West Indies,v Pakistan,Georgetown,18 Mar 1977,Test # 801
286,MW Gatting,7,207,10*,,England,v India,Chennai,13 Jan 1985,Test # 1008
287,,,62,41*,,England,v India,Kanpur,31 Jan 1985,Test # 1011
288,,,53,12,,England,v Australia,Leeds,13 Jun 1985,Test # 1017
289,,,14,75*,,England,v Australia,Lord's,27 Jun 1985,Test # 1018
290,,,74,35*,,England,v Australia,Nottingham,11 Jul 1985,Test # 1019
291,,,160,-,,England,v Australia,Manchester,1 Aug 1985,Test # 1020
292,,,100*,-,,England,v Australia,Birmingham,15 Aug 1985,Test # 1021
293,AR Border,7,80,DNB,,Australia,v England,Manchester,27 Jul 1989,Test # 1124
294,,,65*,-,,Australia,v England,Nottingham,10 Aug 1989,Test # 1125
295,,,76,51*,,Australia,v England,The Oval,24 Aug 1989,Test # 1126
296,,,50,-,,Australia,v New Zealand,Perth,24 Nov 1989,Test # 1129
297,,,56,DNB,,Australia,v Sri Lanka,Brisbane,8 Dec 1989,Test # 1131
298,,,24,85,,Australia,v Sri Lanka,Hobart,16 Dec 1989,Test # 1133
299,,,24,62*,,Australia,v Pakistan,Melbourne,12 Jan 1990,Test # 1134
300,MA Taylor,7,61,2,,Australia,v West Indies,Port of Spain,5 Apr 1991,Test # 1168
