,Player,50s,Runs,Inns,,Team,Opposition,Ground,Match Date,Scorecard
306,,,57,1,,Australia,v Sri Lanka,Moratuwa,8 Sep 1992,Test # 1196
307,,,96,3,,Australia,v Sri Lanka,Moratuwa,8 Sep 1992,Test # 1196
308,NS Sidhu,5,106,1,,India,v England,Chennai,11 Feb 1993,Test # 1213
309,,,79,2,,India,v England,Wankhede,19 Feb 1993,Test # 1214
310,,,61,1,,India,v Zimbabwe,Delhi,13 Mar 1993,Test # 1218
311,,,82,1,,India,v Sri Lanka,Colombo (SSC),27 Jul 1993,Test # 1228
312,,,104,3,,India,v Sri Lanka,Colombo (SSC),27 Jul 1993,Test # 1228
313,Saeed Anwar,5,50,1,,Pakistan,v Sri Lanka,Peshawar,8 Sep 1995,Test # 1304
314,,,54,2,,Pakistan,v Sri Lanka,Faisalabad,15 Sep 1995,Test # 1305
315,,,50,4,,Pakistan,v Sri Lanka,Faisalabad,15 Sep 1995,Test # 1305
316,,,74,1,,Pakistan,v England,Lord's,25 Jul 1996,Test # 1330
317,,,88,3,,Pakistan,v England,Lord's,25 Jul 1996,Test # 1330
318,WJ Cronje,5,81,1,,South Africa,v England,Lord's,18 Jun 1998,Test # 1419
319,,,69*,1,,South Africa,v England,Manchester,2 Jul 1998,Test # 1420
320,,,126,1,,South Africa,v England,Nottingham,23 Jul 1998,Test # 1421
321,,,67,3,,South Africa,v England,Nottingham,23 Jul 1998,Test # 1421
322,,,57,2,,South Africa,v England,Leeds,6 Aug 1998,Test # 1422
323,S Chanderpaul,5,67*,4,,West Indies,v India,Port of Spain,19 Apr 2002,Test # 1599
324,,,101*,2,,West Indies,v India,Bridgetown,2 May 2002,Test # 1601
325,,,136*,2,,West Indies,v India,St John's,10 May 2002,Test # 1602
326,,,58,1,,West Indies,v India,Kingston,18 May 2002,Test # 1604
327,,,59,3,,West Indies,v India,Kingston,18 May 2002,Test # 1604
328,JH Kallis,5,61*,4,,South Africa,v Australia,Durban,15 Mar 2002,Test # 1595
329,,,75*,1,,South Africa,v Bangladesh,East London,18 Oct 2002,Test # 1619
330,,,139*,2,,South Africa,v Bangladesh,Potchefstroom,25 Oct 2002,Test # 1621
331,,,75,2,,South Africa,v Sri Lanka,Johannesburg,8 Nov 2002,Test # 1624
